forecast_item,date,volume,reg_name,reg_value
NO: 249007,2017-01-01,2375,0,0
NO: 249007,2017-02-01,2545,0,0
NO: 249007,2017-03-01,3395,0,0
NO: 249007,2017-04-01,2766,0,0
NO: 249007,2017-05-01,2840,0,0
NO: 249007,2017-06-01,2670,0,0
NO: 249007,2017-07-01,2200,0,0
NO: 249007,2017-08-01,2470,0,0
NO: 249007,2017-09-01,2628,0,0
NO: 249007,2017-10-01,2660,0,0
NO: 249007,2017-11-01,2820,0,0
NO: 249007,2017-12-01,2960,0,0
NO: 249007,2018-01-01,2540,0,0
NO: 249007,2018-02-01,2580,0,0
NO: 249007,2018-03-01,3321,0,0
NO: 249007,2018-04-01,2860,0,0
NO: 249007,2018-05-01,1579,0,0
NO: 249007,2018-06-01,3015,0,0
NO: 249007,2018-07-01,2629,0,0
NO: 249007,2018-08-01,2470,0,0
NO: 249007,2018-09-01,2250,0,0
NO: 249007,2018-10-01,2070,0,0
NO: 249007,2018-11-01,2581,0,0
NO: 249007,2018-12-01,2250,0,0
NO: 249007,2019-01-01,2840,0,0
NO: 249007,2019-02-01,2580,0,0
NO: 249007,2019-03-01,2020,0,0
NO: 249007,2019-04-01,2805,0,0
NO: 249007,2019-05-01,2670,0,0
NO: 249007,2019-06-01,2580,0,0
NO: 249007,2019-07-01,2430,0,0
NO: 249007,2019-08-01,2360,0,0
NO: 249007,2019-09-01,2627,0,0
NO: 249007,2019-10-01,2400,0,0
NO: 249007,2019-11-01,2789,0,0
NO: 249007,2019-12-01,2370,0,0
NO: 249007,2020-01-01,2315,0,0
NO: 249007,2020-02-01,1649,0,0
NO: 249007,2020-03-01,2060,0,0
NO: 249007,2020-04-01,4150,NO: 249007 - OVERSALES ERIS,1
NO: 249007,2020-05-01,2270,0,0
NO: 249007,2020-06-01,4094,NO: 249007 - OVERSALES ERIS,1
NO: 249007,2020-07-01,2610,0,0
NO: 389246,2014-11-01,6280,0,0
NO: 389246,2014-12-01,14585,0,0
NO: 389246,2015-01-01,9875,0,0
NO: 389246,2015-02-01,7113,0,0
NO: 389246,2015-03-01,9748,0,0
NO: 389246,2015-04-01,7672,0,0
NO: 389246,2015-05-01,10080,0,0
NO: 389246,2015-06-01,12280,0,0
NO: 389246,2015-07-01,11140,0,0
NO: 389246,2015-08-01,9940,0,0
NO: 389246,2015-09-01,9700,0,0
NO: 389246,2015-10-01,10826,0,0
NO: 389246,2015-11-01,10912,0,0
NO: 389246,2015-12-01,16245,0,0
NO: 389246,2016-01-01,19203,0,0
NO: 389246,2016-02-01,5740,0,0
NO: 389246,2016-03-01,8275,0,0
NO: 389246,2016-04-01,10050,0,0
NO: 389246,2016-05-01,9410,0,0
NO: 389246,2016-06-01,10750,0,0
NO: 389246,2016-07-01,12060,0,0
NO: 389246,2016-08-01,7695,0,0
NO: 389246,2016-09-01,9270,0,0
NO: 389246,2016-10-01,10322,0,0
NO: 389246,2016-11-01,8375,0,0
NO: 389246,2016-12-01,8590,0,0
NO: 389246,2017-01-01,5320,0,0
NO: 389246,2017-02-01,1920,0,0
NO: 389246,2017-03-01,4030,0,0
NO: 389246,2017-04-01,3040,0,0
NO: 389246,2017-05-01,5930,0,0
NO: 389246,2017-06-01,8435,0,0
NO: 389246,2017-07-01,10268,0,0
NO: 389246,2017-08-01,7188,0,0
NO: 389246,2017-09-01,9300,0,0
NO: 389246,2017-10-01,11000,0,0
NO: 389246,2017-11-01,9887,0,0
NO: 389246,2017-12-01,11910,0,0
NO: 389246,2018-01-01,11300,0,0
NO: 389246,2018-02-01,5150,0,0
NO: 389246,2018-03-01,9195,0,0
NO: 389246,2018-04-01,8990,0,0
NO: 389246,2018-05-01,4813,0,0
NO: 389246,2018-06-01,10000,0,0
NO: 389246,2018-07-01,8780,0,0
NO: 389246,2018-08-01,8780,0,0
NO: 389246,2018-09-01,8345,0,0
NO: 389246,2018-10-01,8669,0,0
NO: 389246,2018-11-01,9580,0,0
NO: 389246,2018-12-01,8810,0,0
